Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2020-06-10,0.2017505736,0.2042009432,0.2051967886,0.1997375654
XRP,2020-06-11,0.2026032611,0.2017689757,0.2037809695,0.1997340298
XRP,2020-06-12,0.1879368341,0.20260327,0.2036140754,0.1846303204
XRP,2020-06-13,0.192848271,0.1879409786,0.1951034738,0.1868804352
XRP,2020-06-14,0.192529782,0.1928485458,0.1937597852,0.1908871381
XRP,2020-06-15,0.1905412147,0.192529782,0.1926721481,0.1886686638
XRP,2020-06-16,0.1926509526,0.1905394118,0.1934544566,0.1819942922
XRP,2020-06-17,0.1919377288,0.192652197,0.1939980191,0.1903585036
XRP,2020-06-18,0.1931998636,0.1919378334,0.1986918704,0.1884163332
XRP,2020-06-19,0.1900609184,0.1931990836,0.1933532262,0.1880857788
XRP,2020-06-20,0.1867209049,0.1900713108,0.1901777683,0.1865451478
XRP,2020-06-21,0.1880511597,0.1867088034,0.1888259888,0.1847796695
XRP,2020-06-22,0.1857377741,0.1880510705,0.188364111,0.1855584283
XRP,2020-06-23,0.1897518358,0.1857415211,0.1903536605,0.1855697128
XRP,2020-06-24,0.1887640563,0.1897515527,0.1904498436,0.1883690217
XRP,2020-06-25,0.1838391076,0.188767814,0.1900656677,0.1815461086
XRP,2020-06-26,0.1816840869,0.1838384413,0.183946072,0.1785750867
XRP,2020-06-27,0.1830036092,0.1816937199,0.1868317032,0.1783740725
XRP,2020-06-28,0.1759058836,0.1830031143,0.1833585901,0.1693314767
XRP,2020-06-29,0.1767573131,0.1759056925,0.1797899477,0.1732741263
XRP,2020-06-30,0.1774300595,0.1767580829,0.1791554052,0.1749355578
XRP,2020-07-01,0.1753667487,0.1774300495,0.1776594634,0.1748581038
XRP,2020-07-02,0.1767258314,0.1753383888,0.1783091134,0.1738401237
XRP,2020-07-03,0.1753467714,0.176620427,0.1772984135,0.1723610825
XRP,2020-07-04,0.1768591626,0.1749458451,0.1787016082,0.1745376317
XRP,2020-07-05,0.1779186106,0.1763586029,0.1794892296,0.1760884315
XRP,2020-07-06,0.1763761404,0.1781739927,0.1788595649,0.1738906629
XRP,2020-07-07,0.1870817709,0.1770584649,0.1885150478,0.1765867385
XRP,2020-07-08,0.1847512014,0.1887496999,0.1896141795,0.183256386
XRP,2020-07-09,0.2054616477,0.1852329907,0.2060838441,0.1841291634
XRP,2020-07-10,0.2019085145,0.205679293,0.2117314576,0.1983214811
XRP,2020-07-11,0.1980969291,0.2027209269,0.2027906702,0.1928943636
XRP,2020-07-12,0.2010837674,0.1990821355,0.2047337869,0.1982660471
XRP,2020-07-13,0.2004377162,0.2012940281,0.2040869877,0.1980063277
XRP,2020-07-14,0.1983432419,0.2013604636,0.2066286728,0.193043793
XRP,2020-07-15,0.1988327076,0.1986804903,0.1997207236,0.1950981637
XRP,2020-07-16,0.1975598485,0.1991713414,0.1998166633,0.1964617585
XRP,2020-07-17,0.1931259394,0.1970645041,0.1974156616,0.1888530795
XRP,2020-07-18,0.1941263291,0.1943120784,0.1978197554,0.1912507297
XRP,2020-07-19,0.1995546906,0.1945123316,0.2020752296,0.194031827
XRP,2020-07-20,0.1992262463,0.2001011228,0.2021651691,0.1960142245
XRP,2020-07-21,0.1943753218,0.199629175,0.2002723449,0.1922413548
XRP,2020-07-22,0.1987869621,0.1947932914,0.2010524494,0.194063062
XRP,2020-07-23,0.2025854252,0.1996833742,0.2031119902,0.1966785608
